"PACKAGE","VERSION","LICENSE","LICENSE FILES","SOURCE ARCHIVE","SOURCE SITE","DEPENDENCIES WITH LICENSES"
"glibc","2.36-81-g4f4d7a13edfd2fdc57c9d76e1fd6d017fb47550c","GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)","COPYING COPYING.LIB LICENSES","glibc-2.36-81-g4f4d7a13edfd2fdc57c9d76e1fd6d017fb47550c.tar.gz","https://github.com/bminor/glibc/archive/2.36-81-g4f4d7a13edfd2fdc57c9d76e1fd6d017fb47550c","linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown]"
"linux-headers","custom","GPL-2.0","","linux-headers-custom.tar.gz","/home/wxt/test/rk3588/buildroot/../kernel","skeleton-init-common [unknown] skeleton-init-sysv [unknown]"
"alsa-lib","1.2.7.2","LGPL-2.1+ (library), GPL-2.0+ (aserver)","COPYING aserver/COPYING","alsa-lib-1.2.7.2.tar.bz2","https://www.alsa-project.org/files/pub/lib","glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown]"
"alsa-plugins","1.2.6","LGPL-2.1+","COPYING","alsa-plugins-1.2.6.tar.bz2","https://www.alsa-project.org/files/pub/plugins","alsa-lib [LGPL-2.1+ (library), GPL-2.0+ (aserver)] bluez5_utils [GPL-2.0+, LGPL-2.1+] dbus [AFL-2.1 or GPL-2.0+ (library, tools), GPL-2.0+ (tools)] eudev [GPL-2.0+ (programs), LGPL-2.1+ (libraries)] expat [MIT] flac [Xiph BSD-like (libFLAC), GPL-2.0+ (tools), LGPL-2.1+ (other libraries)] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] kmod [LGPL-2.1+ (library)] libffi [MIT] libglib2 [LGPL-2.1+] libogg [BSD-3-Clause] libopenssl [OpenSSL or SSLeay] libsndfile [LGPL-2.1+] libtool [LGPL-2.1+] libvorbis [BSD-3-Clause] libzlib [Zlib] linux-headers [GPL-2.0] ncurses [MIT with advertising clause] opus [BSD-3-Clause] pcre [BSD-3-Clause] pulseaudio [LGPL-2.1+ (specific license for modules, see LICENSE file)] readline [GPL-3.0+] sbc [GPL-2.0+ (programs), LGPL-2.1+ (library)] skeleton-init-common [unknown] skeleton-init-sysv [unknown] speex [BSD-3-Clause] util-linux-libs [LGPL-2.1+ (libblkid, libfdisk, libmount), BSD-3-Clause (libuuid)]"
"pulseaudio","14.2","LGPL-2.1+ (specific license for modules, see LICENSE file)","LICENSE GPL LGPL","pulseaudio-14.2.tar.xz","https://freedesktop.org/software/pulseaudio/releases","alsa-lib [LGPL-2.1+ (library), GPL-2.0+ (aserver)] bluez5_utils [GPL-2.0+, LGPL-2.1+] dbus [AFL-2.1 or GPL-2.0+ (library, tools), GPL-2.0+ (tools)] eudev [GPL-2.0+ (programs), LGPL-2.1+ (libraries)] expat [MIT] flac [Xiph BSD-like (libFLAC), GPL-2.0+ (tools), LGPL-2.1+ (other libraries)] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] kmod [LGPL-2.1+ (library)] libffi [MIT] libglib2 [LGPL-2.1+] libogg [BSD-3-Clause] libopenssl [OpenSSL or SSLeay] libsndfile [LGPL-2.1+] libtool [LGPL-2.1+] libvorbis [BSD-3-Clause] libzlib [Zlib] linux-headers [GPL-2.0] ncurses [MIT with advertising clause] opus [BSD-3-Clause] pcre [BSD-3-Clause] readline [GPL-3.0+] sbc [GPL-2.0+ (programs), LGPL-2.1+ (library)] skeleton-init-common [unknown] skeleton-init-sysv [unknown] speex [BSD-3-Clause] util-linux-libs [LGPL-2.1+ (libblkid, libfdisk, libmount), BSD-3-Clause (libuuid)]"
"bluez5_utils","5.62","GPL-2.0+, LGPL-2.1+","COPYING COPYING.LIB","bluez-5.62.tar.xz","https://cdn.kernel.org/pub/linux/bluetooth","dbus [AFL-2.1 or GPL-2.0+ (library, tools), GPL-2.0+ (tools)] eudev [GPL-2.0+ (programs), LGPL-2.1+ (libraries)] expat [MIT] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] kmod [LGPL-2.1+ (library)] libffi [MIT] libglib2 [LGPL-2.1+] libopenssl [OpenSSL or SSLeay] libzlib [Zlib] linux-headers [GPL-2.0] ncurses [MIT with advertising clause] pcre [BSD-3-Clause] readline [GPL-3.0+] skeleton-init-common [unknown] skeleton-init-sysv [unknown] util-linux-libs [LGPL-2.1+ (libblkid, libfdisk, libmount), BSD-3-Clause (libuuid)]"
"dbus","1.12.20","AFL-2.1 or GPL-2.0+ (library, tools), GPL-2.0+ (tools)","COPYING","dbus-1.12.20.tar.gz","https://dbus.freedesktop.org/releases/dbus","expat [MIT] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown]"
"expat","2.4.1","MIT","COPYING","expat-2.4.1.tar.xz","http://downloads.sourceforge.net/project/expat/expat/2.4.1","glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown]"
"libglib2","2.68.4","LGPL-2.1+","COPYING","glib-2.68.4.tar.xz","http://ftp.gnome.org/pub/gnome/sources/glib/2.68","glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] libffi [MIT] libzlib [Zlib] linux-headers [GPL-2.0] pcre [BSD-3-Clause] skeleton-init-common [unknown] skeleton-init-sysv [unknown] util-linux-libs [LGPL-2.1+ (libblkid, libfdisk, libmount), BSD-3-Clause (libuuid)]"
"libffi","3.4.2","MIT","LICENSE","libffi-3.4.2.tar.gz","https://github.com/libffi/libffi/releases/download/v3.4.2","glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown]"
